"time","circ1.bats[1].v","circ1.bats[2].v","circ1.bats[3].v","circ1.bats[1].vr","circ1.bats[2].vr","circ1.bats[3].vr","circ1.gnd.p.i","circ1.gnd.p.v","circ1.r_load.i","circ1.r_load.percentage","circ1.r_load.r_int","circ1.r_load.v","circ1.s[1].i","circ1.s[2].i","circ1.s[3].i","circ1.s[1].r_int","circ1.s[2].r_int","circ1.s[3].r_int","circ1.s[1].v","circ1.s[2].v","circ1.s[3].v","circ1.target_v","circ1.tolerance","circ1.bat_num","circ1.bats[1].state","circ1.bats[2].state","circ1.bats[3].state","circ1.r_load.state","circ1.s[1].mode","circ1.s[2].mode","circ1.s[3].mode","circ1.s[1].state","circ1.s[2].state","circ1.s[3].state","on","circ1.bats[1].i","circ1.bats[2].i","circ1.bats[3].i","circ1.bats[1].m.i","circ1.bats[2].m.i","circ1.bats[3].m.i","circ1.bats[1].m.v","circ1.bats[2].m.v","circ1.bats[3].m.v","circ1.bats[1].p.i","circ1.bats[2].p.i","circ1.bats[3].p.i","circ1.bats[1].p.v","circ1.bats[2].p.v","circ1.bats[3].p.v","circ1.r_load.m.i","circ1.r_load.m.v","circ1.r_load.p.i","circ1.r_load.p.v","circ1.s[1].m.i","circ1.s[2].m.i","circ1.s[3].m.i","circ1.s[1].m.v","circ1.s[2].m.v","circ1.s[3].m.v","circ1.s[1].p.i","circ1.s[2].p.i","circ1.s[3].p.i","circ1.s[1].p.v","circ1.s[2].p.v","circ1.s[3].p.v"
1.1,13.04347826162571,13.04347826162571,13.04347826162571,-86.95652173837429,-86.95652173837429,-86.95652173837429,-2.220446049250313e-16,0,2.608695652151229,1,5,13.04347826075614,0.8695652173837429,0.8695652173837429,0.8695652173837429,1e-09,1e-09,1e-09,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0.8695652173837429,0.8695652173837429,0.8695652173837429,-13.04347826075614,-13.04347826075614,-13.04347826075614,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,-2.608695652151229,-13.04347826075614,2.608695652151229,0,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0,0,0,0.8695652173837429,0.8695652173837429,0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10
1.2,13.04347826162571,13.04347826162571,13.04347826162571,-86.95652173837429,-86.95652173837429,-86.95652173837429,-2.220446049250313e-16,0,2.608695652151229,1,5,13.04347826075614,0.8695652173837429,0.8695652173837429,0.8695652173837429,1e-09,1e-09,1e-09,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0.8695652173837429,0.8695652173837429,0.8695652173837429,-13.04347826075614,-13.04347826075614,-13.04347826075614,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,-2.608695652151229,-13.04347826075614,2.608695652151229,0,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0,0,0,0.8695652173837429,0.8695652173837429,0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10
1.3,13.04347826162571,13.04347826162571,13.04347826162571,-86.95652173837429,-86.95652173837429,-86.95652173837429,-2.220446049250313e-16,0,2.608695652151229,1,5,13.04347826075614,0.8695652173837429,0.8695652173837429,0.8695652173837429,1e-09,1e-09,1e-09,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0.8695652173837429,0.8695652173837429,0.8695652173837429,-13.04347826075614,-13.04347826075614,-13.04347826075614,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,-2.608695652151229,-13.04347826075614,2.608695652151229,0,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0,0,0,0.8695652173837429,0.8695652173837429,0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10
1.4,13.04347826162571,13.04347826162571,13.04347826162571,-86.95652173837429,-86.95652173837429,-86.95652173837429,-2.220446049250313e-16,0,2.608695652151229,1,5,13.04347826075614,0.8695652173837429,0.8695652173837429,0.8695652173837429,1e-09,1e-09,1e-09,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0.8695652173837429,0.8695652173837429,0.8695652173837429,-13.04347826075614,-13.04347826075614,-13.04347826075614,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,-2.608695652151229,-13.04347826075614,2.608695652151229,0,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0,0,0,0.8695652173837429,0.8695652173837429,0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10
1.5,13.04347826162571,13.04347826162571,13.04347826162571,-86.95652173837429,-86.95652173837429,-86.95652173837429,-2.220446049250313e-16,0,2.608695652151229,1,5,13.04347826075614,0.8695652173837429,0.8695652173837429,0.8695652173837429,1e-09,1e-09,1e-09,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0.8695652173837429,0.8695652173837429,0.8695652173837429,-13.04347826075614,-13.04347826075614,-13.04347826075614,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,-2.608695652151229,-13.04347826075614,2.608695652151229,0,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0,0,0,0.8695652173837429,0.8695652173837429,0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10
1.6,13.04347826162571,13.04347826162571,13.04347826162571,-86.95652173837429,-86.95652173837429,-86.95652173837429,-2.220446049250313e-16,0,2.608695652151229,1,5,13.04347826075614,0.8695652173837429,0.8695652173837429,0.8695652173837429,1e-09,1e-09,1e-09,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0.8695652173837429,0.8695652173837429,0.8695652173837429,-13.04347826075614,-13.04347826075614,-13.04347826075614,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,-2.608695652151229,-13.04347826075614,2.608695652151229,0,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0,0,0,0.8695652173837429,0.8695652173837429,0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10
1.7,13.04347826162571,13.04347826162571,13.04347826162571,-86.95652173837429,-86.95652173837429,-86.95652173837429,-2.220446049250313e-16,0,2.608695652151229,1,5,13.04347826075614,0.8695652173837429,0.8695652173837429,0.8695652173837429,1e-09,1e-09,1e-09,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0.8695652173837429,0.8695652173837429,0.8695652173837429,-13.04347826075614,-13.04347826075614,-13.04347826075614,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,-2.608695652151229,-13.04347826075614,2.608695652151229,0,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0,0,0,0.8695652173837429,0.8695652173837429,0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10
1.8,13.04347826162571,13.04347826162571,13.04347826162571,-86.95652173837429,-86.95652173837429,-86.95652173837429,-2.220446049250313e-16,0,2.608695652151229,1,5,13.04347826075614,0.8695652173837429,0.8695652173837429,0.8695652173837429,1e-09,1e-09,1e-09,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0.8695652173837429,0.8695652173837429,0.8695652173837429,-13.04347826075614,-13.04347826075614,-13.04347826075614,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,-2.608695652151229,-13.04347826075614,2.608695652151229,0,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0,0,0,0.8695652173837429,0.8695652173837429,0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10
1.9,13.04347826162571,13.04347826162571,13.04347826162571,-86.95652173837429,-86.95652173837429,-86.95652173837429,-2.220446049250313e-16,0,2.608695652151229,1,5,13.04347826075614,0.8695652173837429,0.8695652173837429,0.8695652173837429,1e-09,1e-09,1e-09,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0.8695652173837429,0.8695652173837429,0.8695652173837429,-13.04347826075614,-13.04347826075614,-13.04347826075614,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,-2.608695652151229,-13.04347826075614,2.608695652151229,0,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0,0,0,0.8695652173837429,0.8695652173837429,0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10
2,13.04347826162571,13.04347826162571,13.04347826162571,-86.95652173837429,-86.95652173837429,-86.95652173837429,-2.220446049250313e-16,0,2.608695652151229,1,5,13.04347826075614,0.8695652173837429,0.8695652173837429,0.8695652173837429,1e-09,1e-09,1e-09,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0.8695652173837429,0.8695652173837429,0.8695652173837429,-13.04347826075614,-13.04347826075614,-13.04347826075614,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,-2.608695652151229,-13.04347826075614,2.608695652151229,0,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0,0,0,0.8695652173837429,0.8695652173837429,0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10
2.1,13.04347826162571,13.04347826162571,13.04347826162571,-86.95652173837429,-86.95652173837429,-86.95652173837429,-2.220446049250313e-16,0,2.608695652151229,1,5,13.04347826075614,0.8695652173837429,0.8695652173837429,0.8695652173837429,1e-09,1e-09,1e-09,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0.8695652173837429,0.8695652173837429,0.8695652173837429,-13.04347826075614,-13.04347826075614,-13.04347826075614,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,-2.608695652151229,-13.04347826075614,2.608695652151229,0,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0,0,0,0.8695652173837429,0.8695652173837429,0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10
2.2,13.04347826162571,13.04347826162571,13.04347826162571,-86.95652173837429,-86.95652173837429,-86.95652173837429,-2.220446049250313e-16,0,2.608695652151229,1,5,13.04347826075614,0.8695652173837429,0.8695652173837429,0.8695652173837429,1e-09,1e-09,1e-09,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0.8695652173837429,0.8695652173837429,0.8695652173837429,-13.04347826075614,-13.04347826075614,-13.04347826075614,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,-2.608695652151229,-13.04347826075614,2.608695652151229,0,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0,0,0,0.8695652173837429,0.8695652173837429,0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10
2.3,13.04347826162571,13.04347826162571,13.04347826162571,-86.95652173837429,-86.95652173837429,-86.95652173837429,-2.220446049250313e-16,0,2.608695652151229,1,5,13.04347826075614,0.8695652173837429,0.8695652173837429,0.8695652173837429,1e-09,1e-09,1e-09,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0.8695652173837429,0.8695652173837429,0.8695652173837429,-13.04347826075614,-13.04347826075614,-13.04347826075614,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,-2.608695652151229,-13.04347826075614,2.608695652151229,0,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0,0,0,0.8695652173837429,0.8695652173837429,0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10
2.4,13.04347826162571,13.04347826162571,13.04347826162571,-86.95652173837429,-86.95652173837429,-86.95652173837429,-2.220446049250313e-16,0,2.608695652151229,1,5,13.04347826075614,0.8695652173837429,0.8695652173837429,0.8695652173837429,1e-09,1e-09,1e-09,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0.8695652173837429,0.8695652173837429,0.8695652173837429,-13.04347826075614,-13.04347826075614,-13.04347826075614,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,-2.608695652151229,-13.04347826075614,2.608695652151229,0,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0,0,0,0.8695652173837429,0.8695652173837429,0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10
2.5,13.04347826162571,13.04347826162571,13.04347826162571,-86.95652173837429,-86.95652173837429,-86.95652173837429,-2.220446049250313e-16,0,2.608695652151229,1,5,13.04347826075614,0.8695652173837429,0.8695652173837429,0.8695652173837429,1e-09,1e-09,1e-09,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0.8695652173837429,0.8695652173837429,0.8695652173837429,-13.04347826075614,-13.04347826075614,-13.04347826075614,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,-2.608695652151229,-13.04347826075614,2.608695652151229,0,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0,0,0,0.8695652173837429,0.8695652173837429,0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10
2.6,13.04347826162571,13.04347826162571,13.04347826162571,-86.95652173837429,-86.95652173837429,-86.95652173837429,-2.220446049250313e-16,0,2.608695652151229,1,5,13.04347826075614,0.8695652173837429,0.8695652173837429,0.8695652173837429,1e-09,1e-09,1e-09,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0.8695652173837429,0.8695652173837429,0.8695652173837429,-13.04347826075614,-13.04347826075614,-13.04347826075614,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,-2.608695652151229,-13.04347826075614,2.608695652151229,0,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0,0,0,0.8695652173837429,0.8695652173837429,0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10
2.7,13.04347826162571,13.04347826162571,13.04347826162571,-86.95652173837429,-86.95652173837429,-86.95652173837429,-2.220446049250313e-16,0,2.608695652151229,1,5,13.04347826075614,0.8695652173837429,0.8695652173837429,0.8695652173837429,1e-09,1e-09,1e-09,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0.8695652173837429,0.8695652173837429,0.8695652173837429,-13.04347826075614,-13.04347826075614,-13.04347826075614,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,-2.608695652151229,-13.04347826075614,2.608695652151229,0,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0,0,0,0.8695652173837429,0.8695652173837429,0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10
2.8,13.04347826162571,13.04347826162571,13.04347826162571,-86.95652173837429,-86.95652173837429,-86.95652173837429,-2.220446049250313e-16,0,2.608695652151229,1,5,13.04347826075614,0.8695652173837429,0.8695652173837429,0.8695652173837429,1e-09,1e-09,1e-09,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0.8695652173837429,0.8695652173837429,0.8695652173837429,-13.04347826075614,-13.04347826075614,-13.04347826075614,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,-2.608695652151229,-13.04347826075614,2.608695652151229,0,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0,0,0,0.8695652173837429,0.8695652173837429,0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10
2.9,13.04347826162571,13.04347826162571,13.04347826162571,-86.95652173837429,-86.95652173837429,-86.95652173837429,-2.220446049250313e-16,0,2.608695652151229,1,5,13.04347826075614,0.8695652173837429,0.8695652173837429,0.8695652173837429,1e-09,1e-09,1e-09,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0.8695652173837429,0.8695652173837429,0.8695652173837429,-13.04347826075614,-13.04347826075614,-13.04347826075614,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,-2.608695652151229,-13.04347826075614,2.608695652151229,0,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0,0,0,0.8695652173837429,0.8695652173837429,0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10
3,13.04347826162571,13.04347826162571,13.04347826162571,-86.95652173837429,-86.95652173837429,-86.95652173837429,-2.220446049250313e-16,0,2.608695652151229,1,5,13.04347826075614,0.8695652173837429,0.8695652173837429,0.8695652173837429,1e-09,1e-09,1e-09,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0.8695652173837429,0.8695652173837429,0.8695652173837429,-13.04347826075614,-13.04347826075614,-13.04347826075614,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,-2.608695652151229,-13.04347826075614,2.608695652151229,0,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0,0,0,0.8695652173837429,0.8695652173837429,0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10
3.1,13.04347826162571,13.04347826162571,13.04347826162571,-86.95652173837429,-86.95652173837429,-86.95652173837429,-2.220446049250313e-16,0,2.608695652151229,1,5,13.04347826075614,0.8695652173837429,0.8695652173837429,0.8695652173837429,1e-09,1e-09,1e-09,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0.8695652173837429,0.8695652173837429,0.8695652173837429,-13.04347826075614,-13.04347826075614,-13.04347826075614,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,-2.608695652151229,-13.04347826075614,2.608695652151229,0,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0,0,0,0.8695652173837429,0.8695652173837429,0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10
3.2,13.04347826162571,13.04347826162571,13.04347826162571,-86.95652173837429,-86.95652173837429,-86.95652173837429,-2.220446049250313e-16,0,2.608695652151229,1,5,13.04347826075614,0.8695652173837429,0.8695652173837429,0.8695652173837429,1e-09,1e-09,1e-09,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0.8695652173837429,0.8695652173837429,0.8695652173837429,-13.04347826075614,-13.04347826075614,-13.04347826075614,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,-2.608695652151229,-13.04347826075614,2.608695652151229,0,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0,0,0,0.8695652173837429,0.8695652173837429,0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10
3.3,13.04347826162571,13.04347826162571,13.04347826162571,-86.95652173837429,-86.95652173837429,-86.95652173837429,-2.220446049250313e-16,0,2.608695652151229,1,5,13.04347826075614,0.8695652173837429,0.8695652173837429,0.8695652173837429,1e-09,1e-09,1e-09,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0.8695652173837429,0.8695652173837429,0.8695652173837429,-13.04347826075614,-13.04347826075614,-13.04347826075614,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,-2.608695652151229,-13.04347826075614,2.608695652151229,0,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0,0,0,0.8695652173837429,0.8695652173837429,0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10
3.4,13.04347826162571,13.04347826162571,13.04347826162571,-86.95652173837429,-86.95652173837429,-86.95652173837429,-2.220446049250313e-16,0,2.608695652151229,1,5,13.04347826075614,0.8695652173837429,0.8695652173837429,0.8695652173837429,1e-09,1e-09,1e-09,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0.8695652173837429,0.8695652173837429,0.8695652173837429,-13.04347826075614,-13.04347826075614,-13.04347826075614,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,-2.608695652151229,-13.04347826075614,2.608695652151229,0,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0,0,0,0.8695652173837429,0.8695652173837429,0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10
3.5,13.04347826162571,13.04347826162571,13.04347826162571,-86.95652173837429,-86.95652173837429,-86.95652173837429,-2.220446049250313e-16,0,2.608695652151229,1,5,13.04347826075614,0.8695652173837429,0.8695652173837429,0.8695652173837429,1e-09,1e-09,1e-09,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0.8695652173837429,0.8695652173837429,0.8695652173837429,-13.04347826075614,-13.04347826075614,-13.04347826075614,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,-2.608695652151229,-13.04347826075614,2.608695652151229,0,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0,0,0,0.8695652173837429,0.8695652173837429,0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10
3.6,13.04347826162571,13.04347826162571,13.04347826162571,-86.95652173837429,-86.95652173837429,-86.95652173837429,-2.220446049250313e-16,0,2.608695652151229,1,5,13.04347826075614,0.8695652173837429,0.8695652173837429,0.8695652173837429,1e-09,1e-09,1e-09,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0.8695652173837429,0.8695652173837429,0.8695652173837429,-13.04347826075614,-13.04347826075614,-13.04347826075614,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,-2.608695652151229,-13.04347826075614,2.608695652151229,0,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0,0,0,0.8695652173837429,0.8695652173837429,0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10
3.7,13.04347826162571,13.04347826162571,13.04347826162571,-86.95652173837429,-86.95652173837429,-86.95652173837429,-2.220446049250313e-16,0,2.608695652151229,1,5,13.04347826075614,0.8695652173837429,0.8695652173837429,0.8695652173837429,1e-09,1e-09,1e-09,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0.8695652173837429,0.8695652173837429,0.8695652173837429,-13.04347826075614,-13.04347826075614,-13.04347826075614,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,-2.608695652151229,-13.04347826075614,2.608695652151229,0,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0,0,0,0.8695652173837429,0.8695652173837429,0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10
3.8,13.04347826162571,13.04347826162571,13.04347826162571,-86.95652173837429,-86.95652173837429,-86.95652173837429,-2.220446049250313e-16,0,2.608695652151229,1,5,13.04347826075614,0.8695652173837429,0.8695652173837429,0.8695652173837429,1e-09,1e-09,1e-09,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,90,0.9,3,1,1,1,1,2,2,2,1,1,1,3,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0.8695652173837429,0.8695652173837429,0.8695652173837429,-13.04347826075614,-13.04347826075614,-13.04347826075614,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10,-2.608695652151229,-13.04347826075614,2.608695652151229,0,-0.8695652173837429,-0.8695652173837429,-0.8695652173837429,0,0,0,0.8695652173837429,0.8695652173837429,0.8695652173837429,8.695652173837429e-10,8.695652173837429e-10,8.695652173837429e-10
